Date,Open,High,Low,Close,Volume,EMA_fast,EMA_slow,SMA_long,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Vol_MA,Vol_Ratio,ATR,ATR_Pct,StochRSI,StochRSI_K,StochRSI_D,Sig_EMA,Sig_SMA,Sig_RSI,Sig_MACD,Sig_BB,Sig_Vol,EMA_Cross,MACD_Cross,Score,Buy_Signal,Sell_Signal
2025-04-08,50.0,50.0,50.0,50.0,632500,66.93705927547155,84.46269635696503,,3.333333333333343,-14.296527739509187,-13.081141439623941,-1.215386299885246,,,,,,,,8.214285714285714,16.428571428571427,,,,-1,0,1,-1,0,0,0,0,-1,False,False
2025-04-09,50.0,50.0,50.0,50.0,666100,65.32400601114094,83.1112180684566,,7.407407407407419,-13.868008611920565,-13.238514874083267,-0.6294937378372989,,,,,,,,5.714285714285714,11.428571428571429,,,,-1,0,1,-1,0,0,0,0,-1,False,False
2025-04-10,50.0,50.0,50.0,50.0,3761200,63.86457686722275,81.81273892851712,,0.0,-13.374234268517284,-13.26565875297007,-0.1085755155472139,,,,,,,,4.857142857142857,9.714285714285714,,,,-1,0,1,-1,0,0,0,0,-1,False,False
2025-04-11,50.0,50.0,50.0,50.0,703700,62.544140975106295,80.5651805391635,,0.0,-12.834961101822195,-13.179519222740495,0.3445581209183004,,,,,,,,3.857142857142857,7.7142857142857135,,,,-1,0,1,1,0,0,0,1,1,False,False
2025-04-14,50.0,50.0,50.0,50.0,786800,61.34946088223903,79.36654600821592,,0.0,-12.266186272054576,-12.996852632603312,0.7306663605487369,,,,,,,,3.0,6.0,,,,-1,0,1,1,0,0,0,0,1,False,False
2025-04-15,50.0,50.0,50.0,50.0,483600,60.26855984583531,78.21491675299175,,0.0,-11.680779368139149,-12.73363797971048,1.052858611571331,57.7,85.73831964332122,29.661680356678783,97.18654989019485,0.36268791964082353,157913505.0,0.0030624359835468157,2.2142857142857144,4.428571428571429,,,,-1,0,1,1,0,0,0,0,1,False,False
2025-04-16,50.0,50.0,50.0,50.0,1465300,59.29060176527957,77.10844942934501,,0.0,-11.089012940648267,-12.40471297189804,1.3157000312497722,54.9,71.46756501500192,38.33243498499807,60.355428105653644,0.35212069499763393,103851920.0,0.014109512852530795,1.2857142857142858,2.5714285714285716,,,,-1,0,1,1,0,0,0,0,1,False,False
2025-04-17,50.0,50.0,50.0,50.0,461200,58.40578254953866,76.0453729811354,,0.0,-10.49900775739303,-12.023571928997038,1.5245641716040073,53.75,68.06782106327636,39.432178936723645,53.27561325870271,0.3690443195432041,75650200.0,0.006096480908180018,0.9285714285714286,1.8571428571428572,,,,-1,0,1,1,0,0,0,0,1,False,False
2025-04-21,50.0,50.0,50.0,50.0,415800,57.605231830534976,75.02398580540459,,0.0,-9.917106172137302,-11.602278777625092,1.6851726054877894,52.5,62.81095482841839,42.18904517158161,39.27982791778434,0.37876971426983364,54702245.0,0.0076011505560695,0.5714285714285714,1.1428571428571428,,,,-1,0,1,1,0,0,0,0,1,False,False
2025-04-22,50.0,50.0,50.0,50.0,247900,56.88092403715069,74.04265302872206,,,-9.348184916770137,-11.151460005454101,1.8032750886839644,51.55,58.37024849061121,44.729751509388784,26.460711893738946,0.3863677766188626,44659105.0,0.0055509397243854305,0.0,0.0,,,,-1,0,0,1,0,0,0,0,0,False,False
2025-04-23,50.0,50.0,50.0,50.0,1408200,56.225597938374435,73.0998038903408,,,-8.79591686864179,-10.68035137809164,1.88443450944985,50.9,55.10025061908909,46.69974938091091,16.50393170565458,0.3928635358197766,36838585.0,0.038226223944269305,0.0,0.0,,,,-1,0,0,1,0,0,0,0,0,False,False
