Entry_Date,Entry_Price,Shares,Fee_Buy,Exit_Date,Exit_Price,Fee_Sell,PnL,PnL_Pct,Hold_Days
2025-03-21,6381.8349609375,14800,141676.7361328125,2025-03-25,5982.97021484375,221369.89794921875,-6266244.876269531,-6.250000956388824,4
2025-04-22,6804.162109375,13000,132681.1611328125,2025-07-09,6428.76025390625,208934.70825195312,-5221839.990478516,-5.517238558315785,78
2025-07-15,6592.99853515625,12700,125596.62209472657,2025-07-18,6405.29736328125,203368.1912841797,-2712769.6961914063,-2.8469773028783396,3
2025-08-07,6686.84912109375,12100,121366.31154785157,2025-08-22,6405.29736328125,193760.2452392578,-3721902.8263183595,-4.210529544091868,15
2025-08-26,6827.62451171875,11400,116752.37915039062,2026-03-02,9975.0,284287.5,35479040.68725586,46.09766519642638,188
