Date,Open,High,Low,Close,Volume,EMA_fast,EMA_slow,SMA_long,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Vol_MA,Vol_Ratio,ATR,ATR_Pct,StochRSI,StochRSI_K,StochRSI_D,Sig_EMA,Sig_SMA,Sig_RSI,Sig_MACD,Sig_BB,Sig_Vol,EMA_Cross,MACD_Cross,Score,Buy_Signal,Sell_Signal
2025-03-03,6381.834581367924,6522.610344192217,6147.208309994104,6217.59619140625,23048400,6217.59619140625,6217.59619140625,,,0.0,0.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,False,False
2025-03-04,6217.596381620231,6217.596381620231,5631.030685240964,5842.1943359375,37373400,6181.843633742559,6202.874550015319,,,-29.946586761040635,-5.989317352208127,-23.95726940883251,,,,,,,,,,,,,-1,0,0,-1,0,0,-1,-1,-2,False,True
2025-03-05,5865.6570733762255,6241.059126072304,5865.6570733762255,5982.97021484375,22020200,6162.903308133149,6194.250850596826,,,-41.83775599997716,-13.159005081761935,-28.67875091821523,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-06,6241.058932483857,6546.07309083833,6217.596304918127,6358.3720703125,29239800,6181.519380721659,6200.686976860186,,,-20.730828830697646,-14.673369831549078,-6.057458999148569,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-07,6381.834972249035,6428.760229397924,6006.432915057915,6076.82080078125,18601200,6171.548087394001,6195.829479759052,,,-26.41774410135349,-17.02224468550996,-9.395499415843531,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-10,6381.834620786517,6475.685129915731,6194.13360252809,6264.521484375,21085300,6180.402696630287,6198.523283861639,,,-15.598973680840572,-16.737590484576085,1.1386168037355127,,,,,,,,,,,,,-1,0,0,1,0,0,0,1,0,False,False
2025-03-11,6194.1335254277565,6217.596152418014,6006.432509505704,6170.6708984375,13225900,6179.475858707165,6197.43103345285,,,-14.43161939561378,-16.276396266783625,1.8447768711698451,,,,,,,,,,,,,-1,0,0,1,0,0,0,0,0,False,False
2025-03-12,6147.208458533654,6147.208458533654,6029.8953200120195,6100.283203125,5843800,6171.933701032673,6193.621314616464,,,-18.967535528749067,-16.814624119176713,-2.1529114095723543,,,,,,,,,,,,,-1,0,0,-1,0,0,0,-1,-2,False,True
2025-03-13,6100.283017466731,6264.521406398527,6006.432509505704,6170.6708984375,10139500,6171.813434118846,6192.72129829572,,,-16.690188878455047,-16.78973707103238,0.09954819257733405,,,,,,,,,,,,,-1,0,0,1,0,0,0,1,0,False,False
2025-03-14,6217.59657222792,6241.059200802365,6053.358172206805,6076.82080078125,5586600,6162.766516658123,6188.1761807461335,,,-22.202358821561575,-17.87226142113822,-4.330097400423355,,,,,,,,,,,,,-1,0,0,-1,0,0,0,-1,-2,False,True
2025-03-17,6147.2086054104475,6334.90963152985,6123.745977145522,6287.984375,6682000,6174.692026976397,6192.090227579618,,,-9.423034664704574,-16.18241606985149,6.759381405146918,,,,,,,,,,,,,-1,0,0,1,0,0,0,1,0,False,False
2025-03-18,6287.9841058686025,6311.446733129305,5701.418424351009,5959.50732421875,18569300,6154.198245761383,6182.969329408604,,,-25.50665614641457,-18.04726408516411,-7.459392061250462,,,,,,,,,,,,,-1,0,0,-1,0,0,0,-1,-2,False,True
2025-03-19,5982.970064603366,6522.610501802885,5912.582181490385,6405.29736328125,22516500,6178.112447429942,6191.688075834982,,,-2.255511386116268,-14.88891354535454,12.633402159238273,,,,,,,,,,,,,-1,0,0,1,0,0,0,1,0,False,False
2025-03-20,6546.073129507212,6663.386268028847,6334.9094801682695,6405.29736328125,13527900,6199.749106082448,6200.0649106367955,,53.50877641358019,15.986901305127503,-8.713750575258132,24.700651880385635,,,,,,,,385.45741190459916,6.017791057043765,,,,-1,0,0,1,0,0,0,0,0,False,False
2025-03-21,6405.297589470359,6428.760218003217,6217.596561207491,6381.8349609375,12214900,6217.090616068644,6207.19314790349,,53.04348691574155,28.225558340018324,-1.325888792202841,29.551447132221163,,,,,,,,373.7260992330001,5.8560915711630885,,,,1,0,0,1,0,0,1,0,2,True,False
2025-03-24,6381.8347745706105,6381.8347745706105,5936.044845464576,6147.20849609375,7156000,6210.435176071034,6204.840808616834,,55.96330537972781,18.77594989446152,2.694478945130031,16.08147094933149,,,,,,,,363.6707005968328,5.9160300293690655,,,,1,0,0,1,0,0,0,0,2,False,False
2025-03-25,6147.208612898285,6194.133869485295,5982.97021484375,5982.97021484375,7352400,6188.771846430341,6196.1400010178895,,50.0,-1.943189698432434,1.766945216417538,-3.710134914849972,,,,,,,,350.2634766330285,5.8543409720480435,,,,-1,0,0,-1,0,0,-1,-1,-2,False,True
2025-03-26,6006.432509505704,6241.05877940827,6006.432509505704,6170.6708984375,6558700,6187.047946621498,6195.141212681404,,46.07842577173233,-3.1807153070558343,0.7774131117228635,-3.958128418778698,,,,,,,,328.47674010231,5.323193304402037,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-27,6170.6713511733715,6194.133979885058,6100.283465038314,6123.74609375,5145500,6181.0191987289745,6192.34140409586,,51.086958242878836,-7.857328447777036,-0.9495352001771165,-6.907793247599919,,,,,,,,305.0141115670767,4.980841904571768,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-04-08,5490.254806385869,5584.105315896739,5232.165905230978,5396.404296875,18804600,6106.293969980977,6161.128184204846,,33.91303812797733,-69.45336722956381,-14.650301606054455,-54.803065623509355,6126.092114257813,6590.104241206307,5662.079987309318,15.14871530803648,-0.28628097737605945,15234595.0,1.2343354056999873,340.20810152311543,6.304347910332188,,,,-1,0,0,-1,1,0,0,0,-1,False,False
2025-04-09,5396.404296875,5560.642688519021,5349.479042119565,5396.404296875,12763900,6038.68542968517,6131.139012152696,,35.135131081367376,-116.92088060868991,-35.10441740658155,-81.81646320210837,6085.03251953125,6649.425619680694,5520.639419381806,18.55020818172787,-0.11006080910088212,14720370.0,0.8670909766534401,336.8562923466983,6.242236011519155,,,,-1,0,0,-1,1,0,0,0,-1,False,False
2025-04-10,5701.418646240235,5771.806530761719,5584.105505371094,5631.03076171875,12703800,5999.861175593131,6111.526923900385,,41.52542357935201,-134.06145508504324,-54.89582494227389,-79.16563014276934,6074.474340820312,6665.277660937005,5483.671020703619,19.451998213129638,0.12471133454871645,13486890.0,0.941936947658059,353.6153391653582,6.279762163071983,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-04-11,5607.56805937169,5654.49331509865,5443.329664327331,5537.18017578125,16926600,5955.796318468189,6089.0035220133595,,38.655464389275984,-153.44957066027655,-74.60657408587443,-78.84299657440212,6052.184838867188,6689.342383841202,5415.027293893174,21.055455573074443,0.09585767511633093,13232210.0,1.27919674793553,350.26353587096503,6.325666219115685,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-04-14,5537.180033526082,6053.357833261564,5537.180033526082,5959.50732421875,18568800,5956.14974758729,6083.9252397469045,,48.120295222352475,-133.20106166967344,-86.32547160263424,-46.8755900670392,6032.2416015625,6653.825333999617,5410.6578691253835,20.60871475294064,0.44149277599449677,12698660.0,1.4622645223984263,373.72616238095947,6.271091586080941,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-04-15,6006.432915057915,6311.4470865257,5959.507657909025,6076.82080078125,18718700,5967.642228843858,6083.646634297272,,46.51162940768127,-106.46054439661111,-90.35248616142962,-16.10805823518149,6032.2416015625,6653.825333999617,5410.6578691253835,20.60871475294064,0.535859367686444,12704535.0,1.473387258959104,380.42980034941303,6.260342584077913,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-04-16,6569.535833145307,6757.236856949459,6381.834809341156,6499.14794921875,37637300,6018.261821260515,6099.940803509879,,58.64662007083884,-50.606856123311445,-82.403360153806,31.79650403049456,6043.972924804688,6692.296302963057,5395.649546646318,21.453550048102514,0.8510401134284518,13532135.0,2.781327558437748,385.4574965915496,5.930892781689709,,,,-1,0,0,1,0,1,0,1,1,False,False
2025-04-17,6499.148139897925,6522.610768561816,6287.984481922902,6428.76025390625,12294300,6057.356910083918,6112.835683917579,,50.42735529222592,-11.885100479719767,-68.29970821898875,56.41460773926899,6056.877392578125,6725.7670647034865,5387.987720452764,22.08694773795468,0.7779852020636578,13485555.0,0.9116643697645369,358.64306561486495,5.578728268750509,0.6676880527211656,,,-1,0,0,1,0,0,0,0,0,False,False
2025-04-21,6475.685438368056,6499.14806676794,6287.984411168981,6334.90966796875,6480800,6083.79050607295,6121.5444676058605,,48.76033370563855,11.101243673148929,-52.41951784056122,63.52076151371015,6068.608715820313,6748.837628045769,5388.379803594857,22.41795258449143,0.6957436293594164,13517405.0,0.4794411353362572,350.2635561676065,5.529101037362012,0.6002889355840502,,,-1,0,0,1,0,0,0,0,0,False,False
2025-04-22,6334.909550107758,7109.176272898707,6287.984294181034,6804.162109375,30459300,6152.39732543505,6148.313786890924,,56.42856972971237,66.41722095725436,-28.652170080998108,95.06939103825246,6100.283276367188,6855.397150221255,5345.16940251312,24.75668226029495,0.9660746262118362,14533395.0,2.0958145017045227,393.8370077334598,5.788177903504359,0.9103223161832962,0.7260997681628373,,1,0,0,1,-1,1,1,0,2,True,False
2025-04-23,6874.5501118043285,6898.012740172261,6616.461199757066,6639.923828125,19519200,6198.8284209293315,6167.592612037359,,57.66423734655477,95.89742891822425,-3.7422502811536376,99.6396791993779,6128.438427734375,6920.935182923938,5335.941672544813,25.862926242453604,0.822705043926823,15230025.0,1.2816262612832219,382.10568094362196,5.754669644328164,0.96028142116441,0.8236308909772521,,1,0,0,1,0,0,0,0,2,False,False
