Date,Open,High,Low,Close,Volume,EMA_fast,EMA_slow,SMA_long,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Vol_MA,Vol_Ratio,ATR,ATR_Pct,StochRSI,StochRSI_K,StochRSI_D,Sig_EMA,Sig_SMA,Sig_RSI,Sig_MACD,Sig_BB,Sig_Vol,EMA_Cross,MACD_Cross,Score,Buy_Signal,Sell_Signal
2025-02-27,22.0,22.0,22.0,22.0,2556100,22.0,22.0,,,0.0,0.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,False,False
2025-02-28,20.0,20.0,20.0,20.0,1809900,21.80952380952381,21.92156862745098,,,-0.1595441595441578,-0.03190883190883156,-0.12763532763532623,,,,,,,,,,,,,-1,0,0,-1,0,0,-1,-1,-2,False,True
2025-03-03,20.0,21.0,20.0,20.0,632000,21.63718820861678,21.846212995001924,,,-0.2827249778816707,-0.0820720611033994,-0.20065291677827132,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-04,20.0,22.0,20.0,22.0,1323900,21.67174171255804,21.852243857943026,,,-0.21646806942380792,-0.1089512627674811,-0.10751680665632682,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-05,22.0,22.0,22.0,22.0,393700,21.70300440660013,21.858038216455064,,,-0.16209051357307658,-0.1195791129286002,-0.04251140064447638,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-06,22.0,22.0,20.0,20.0,363000,21.54081351073345,21.785173972672514,,,-0.2771839896037207,-0.1511000882636243,-0.1260839013400964,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-07,21.0,22.0,21.0,22.0,2749200,21.584545557330266,21.793598522763787,,,-0.20465398946130264,-0.16181086850315998,-0.04284312095814266,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-10,22.0,22.0,22.0,22.0,1990400,21.624112647108337,21.80169269834168,,,-0.14549625157808777,-0.15854794511814554,0.01305169354005778,,,,,,,,,,,,,-1,0,0,1,0,0,0,1,0,False,False
2025-03-11,21.0,22.0,21.0,22.0,175200,21.65991144262183,21.809469455269458,,,-0.09748951960031604,-0.14633626001457964,0.048846740414263595,,,,,,,,,,,,,-1,0,0,1,0,0,0,0,0,False,False
2025-03-12,22.0,22.0,21.0,21.0,1391400,21.597062733800705,21.777725555062812,,,-0.13853849574764254,-0.14477670716119223,0.006238211413549688,,,,,,,,,,,,,-1,0,0,1,0,0,0,0,0,False,False
2025-03-13,21.0,22.0,21.0,22.0,392800,21.63543771153397,21.78644219996231,,,-0.08934850844714148,-0.1336910674183821,0.04434255897124062,,,,,,,,,,,,,-1,0,0,1,0,0,0,0,0,False,False
2025-03-14,22.0,22.0,22.0,22.0,459900,21.670157929483118,21.794817015650064,,,-0.04979112798724117,-0.11691107953215392,0.06711995154491275,,,,,,,,,,,,,-1,0,0,1,0,0,0,0,0,False,False
2025-03-17,22.0,24.0,22.0,24.0,17365700,21.892047650484724,21.88129477974222,,,0.14131270146695485,-0.06526632333233218,0.20657902479928703,,,,,,,,,,,,,1,0,0,1,0,0,1,0,2,True,False
2025-03-18,24.0,26.0,24.0,25.0,7230400,22.18804311234332,22.003596945242524,,61.53846153846153,0.3691996025895641,0.02162686185204707,0.347572740737517,,,,,,,,1.1428571428571428,4.571428571428571,,,,1,0,0,1,0,0,0,0,2,False,False
2025-03-19,25.0,25.0,24.0,24.0,3973400,22.36061043497729,22.081887261115366,,57.14285714285714,0.4637639883398741,0.11005428714961249,0.35370970119026157,,,,,,,,1.2142857142857142,5.059523809523809,,,,1,0,0,1,0,0,0,0,2,False,False
2025-03-20,25.0,25.0,23.0,23.0,6101600,22.421504679265166,22.117891682248096,,61.53846153846153,0.4527957550862496,0.1786025807369399,0.2741931743493097,,,,,,,,1.2142857142857142,5.279503105590062,,,,1,0,0,1,0,0,0,0,2,False,False
2025-03-21,24.0,24.0,23.0,23.0,368000,22.476599471716103,22.152484165297192,,61.53846153846153,0.43904234435949263,0.23069053346145046,0.20835181089804217,,,,,,,,1.2142857142857142,5.279503105590062,,,,1,0,0,1,0,0,0,0,2,False,False
2025-03-24,22.0,22.0,22.0,22.0,465000,22.43120904583838,22.14650439410907,,50.0,0.34349146878314585,0.25325072052578956,0.09024074825735628,,,,,,,,1.1428571428571428,5.194805194805195,,,,1,0,0,1,0,0,0,0,2,False,False
2025-03-25,22.0,22.0,21.0,21.0,1193900,22.2949034224252,22.101543437477343,,46.15384615384615,0.1849431592144022,0.2395892082635121,-0.05464604904910991,,,,,,,,1.2142857142857142,5.782312925170068,,,,1,0,0,-1,0,0,0,-1,0,False,False
2025-03-26,22.0,23.0,22.0,22.0,175300,22.26681738219423,22.097561341889996,,58.33333333333333,0.13838886357832791,0.21934913932647526,-0.08096027574814735,22.05,24.683788546042216,19.416211453957786,23.889238512854558,0.49050796995925594,2555540.0,0.06859606971520696,1.2142857142857142,5.51948051948052,,,,1,0,0,-1,0,0,0,0,0,False,False
2025-03-27,22.0,22.0,22.0,22.0,60200,22.241406202937636,22.09373540691392,,50.0,0.10033761926427331,0.19554683531403488,-0.09520921604976157,22.05,24.683788546042216,19.416211453957786,23.889238512854558,0.49050796995925594,2430745.0,0.024766069661770362,1.0714285714285714,4.87012987012987,,,,1,0,0,-1,0,0,0,0,0,False,False
2025-04-08,21.0,21.0,20.0,20.0,1822300,22.027938945515004,22.01162813605455,,41.66666666666667,-0.0901622173836536,0.1384050247744972,-0.2285672421581508,22.05,24.683788546042216,19.416211453957786,23.889238512854558,0.11082676832949846,2431365.0,0.7494966819050204,1.2142857142857142,6.07142857142857,,,,1,0,0,-1,0,0,0,0,0,False,False
2025-04-09,20.0,20.0,20.0,20.0,345900,21.834801903085005,21.93274075817006,,41.66666666666667,-0.2383867364966008,0.06304667252027761,-0.30143340901687843,22.05,24.683788546042216,19.416211453957786,23.889238512854558,0.11082676832949846,2417060.0,0.14310774246398517,1.1428571428571428,5.714285714285714,,,,-1,0,0,-1,0,0,-1,0,-2,False,True
2025-04-10,20.0,20.0,20.0,20.0,1658800,21.66005886469596,21.856947002947706,,45.45454545454546,-0.3518003997731647,-0.019922741938410843,-0.33187765783475387,21.95,24.739076436460834,19.160923563539164,25.412997143151117,0.15042191484819464,2433805.0,0.6815665182707735,1.0714285714285714,5.357142857142857,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-04-11,20.0,21.0,20.0,21.0,302000,21.597196115677296,21.82334123812623,,45.45454545454546,-0.35687605732861627,-0.08731340501645193,-0.26956265231216436,21.9,24.720974075889764,19.079025924110233,25.762320327760413,0.3404806326133768,2429220.0,0.12431974049283309,1.0714285714285714,5.1020408163265305,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-04-14,21.0,21.0,20.0,21.0,280100,21.540320295136603,21.791053346435007,,45.45454545454546,-0.35678574849224276,-0.1412078737116101,-0.21557787478063267,21.95,24.662543960352,19.237456039648,24.71566250890206,0.3248876305995941,2425075.0,0.11550158242528581,1.1428571428571428,5.442176870748299,,,,-1,0,0,-1,0,0,0,0,-2,False,False
