Date,Open,High,Low,Close,Volume,EMA_fast,EMA_slow,SMA_long,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Vol_MA,Vol_Ratio,ATR,ATR_Pct,StochRSI,StochRSI_K,StochRSI_D,Sig_EMA,Sig_SMA,Sig_RSI,Sig_MACD,Sig_BB,Sig_Vol,EMA_Cross,MACD_Cross,Score,Buy_Signal,Sell_Signal
2025-03-17,360.96533141473327,368.3319708313605,360.96533141473327,364.6486511230469,10935600,364.3245470220254,367.09385918653913,,,-2.4250002999603453,-2.172288519877734,-0.2527117800826111,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-18,364.648668358363,368.3319882407707,346.2320689463245,355.44036865234375,20039100,363.4784347963414,366.6368595577472,,,-2.8295767037359383,-2.303746156649375,-0.5258305470865632,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-19,355.4403537114461,357.28201357523596,349.9153741200765,353.59869384765625,6210000,362.5375070869428,366.1255589416652,,,-3.261220859731907,-2.4952410972658816,-0.7659797624660252,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-20,353.5986944901316,355.44035435726767,348.07371488872326,349.9153747558594,15540700,361.33539924588723,365.4898654441826,,27.9999761381917,-3.8560647173680422,-2.7674058212863137,-1.0886588960817285,,,,,,,,9.471393516520079,2.7067668927461095,,,,-1,0,1,-1,0,0,0,0,-1,False,False
2025-03-21,351.7570472368734,375.69862636817896,340.70708763780937,362.8070068359375,39390700,361.47555234970156,365.3846553026828,,43.75,-3.2497744146281207,-2.8638795399546755,-0.3858948746734452,,,,,,,,10.655317764781975,2.936910689158863,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-24,362.8070084171592,366.4903282995669,348.0737288875283,355.44036865234375,18467200,360.9007729499532,364.9946832771793,,45.161302392808956,-3.32537822724521,-2.9561792774127826,-0.3691989498324273,,,,,,,,11.181505376671623,3.1458175161888415,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-25,357.28202703640545,366.4903267022922,353.5987071700508,362.8070068359375,11068500,361.08231903433267,364.9088920441895,,52.94117647058823,-2.759063886561762,-2.9167561992425783,0.1576923126808163,,,,,,,,11.44459965142121,3.1544593780672203,,,,-1,0,0,1,0,0,0,1,0,False,False
2025-03-26,364.6486487527496,381.22358733242,364.6486487527496,379.3819274902344,18499400,362.82513888727567,365.47646206168145,,61.904761904761905,-0.9617120986572445,-2.5257473791255114,1.564035280468267,,,,,,,,12.233881156226447,3.224687384862675,,,,-1,0,0,1,0,0,0,0,0,False,False
2025-03-27,368.3319814962233,388.5902404785156,368.3319814962233,388.5902404785156,15479300,365.2789580864414,366.3828847446946,,65.21739130434783,1.1919954618563224,-1.7821988109291447,2.974194272785467,,,,,,,,13.15471110262523,3.385239702990566,,,,-1,0,0,1,0,0,0,0,0,False,False
2025-04-08,349.9153912386155,349.9153912386155,331.498791699741,344.3904113769531,53820500,363.28957268553773,365.52043480870475,,43.478266090326635,-0.6601231066620699,-1.5577836700757297,0.8976605634136599,361.51783752441406,380.64199678729483,342.3936782615333,10.579925678820356,0.052204467866344556,16003570.0,3.3630308737362977,16.706483199022763,4.851030297918676,,,,-1,0,0,1,0,1,0,0,1,False,False
